Parts Number,Production Status,Successor Model,Series,Min. Category Temperature[deg.C],Max. Category Temperature[deg.C],Rated Voltage[Vdc],Capacitance[μF],Capacitance Tolerance Code,Pin Qty,Pin Size,Pin Spacing,Dimensions ⌀D[mm],Package,Polarization,SMD Land Size,Mounting Type,Dimensions L[mm],Dimensions T[mm],Rated Ripple Current1[mArms],Rated Ripple Current1(temp.)[deg.C],Rated Ripple Current1(freq.),Rated Ripple Current2[mArms],Rated Ripple Current2(temp.)[deg.C],Rated Ripple Current2(freq.),ESR1[mOhm],ESR1(temp.)[deg.C],ESR1(freq.),ESR2[mOhm],ESR2(temp.)[deg.C],ESR2(freq.),Impedance1[Ohm],Impedance1(temp.)[deg.C],Impedance1(freq.),Impedance2[Ohm],Impedance2(temp.)[deg.C],Impedance2(freq.),Dissipation Factor,Dissipation Factor(temp.)[deg.C],Dissipation Factor(freq.)[Hz],Leakage Current(1min.)[μA],Leakage Current(2min.)[μA],Leakage Current(3min.)[μA],Leakage Current(5min.)[μA],Leakage Current(temp.)[deg.C],Endurance1(temp.)[deg.C],Endurance1[hrs.],Endurance1(load),Endurance2(temp.)[deg.C],Endurance2[hrs.],Endurance2(load),Reference weight[g],MOQ[pcs],"Temperature Characteristics, Case Code (inch/mm)",RoHS,AEC-Q200,URL(ja),URL(en),URL(zh),Catalog PDF(ja),Catalog PDF(en),Catalog PDF(zh)
EAVH630ELL101MJ20S,In Production,,AVH,-40,85,63,100,M,2,0.8,5,10,Radial,Polar,,Through Hole,20,,,,,,,,,,,,,,,,,,,,0.09,20,120,189,63,,,20,85,1000,DC,,,,2.5,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH630ELL101MJ20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH630ELL101MJ20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH630ELL101MJ20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH800ELL470MJ16S,In Production,,AVH,-40,85,80,47,M,2,0.8,5,10,Radial,Polar,,Through Hole,16,,,,,,,,,,,,,,,,,,,,0.08,20,120,112,37.6,,,20,85,1000,DC,,,,2.2,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH800ELL470MJ16S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH800ELL470MJ16S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH800ELL470MJ16S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH101ELL220MJC5S,In Production,,AVH,-40,85,100,22,M,2,0.8,5,10,Radial,Polar,,Through Hole,12.5,,,,,,,,,,,,,,,,,,,,0.07,20,120,66,22,,,20,85,1000,DC,,,,1.8,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH101ELL220MJC5S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH101ELL220MJC5S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH101ELL220MJC5S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH101ELL330MJ16S,In Production,,AVH,-40,85,100,33,M,2,0.8,5,10,Radial,Polar,,Through Hole,16,,,,,,,,,,,,,,,,,,,,0.07,20,120,99,33,,,20,85,1000,DC,,,,2.2,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH101ELL330MJ16S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH101ELL330MJ16S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH101ELL330MJ16S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH101ELL470MJ20S,In Production,,AVH,-40,85,100,47,M,2,0.8,5,10,Radial,Polar,,Through Hole,20,,,,,,,,,,,,,,,,,,,,0.07,20,120,141,47,,,20,85,1000,DC,,,,2.5,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH101ELL470MJ20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH101ELL470MJ20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH101ELL470MJ20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH6R3ELL222MK25S,In Production,,AVH,-40,85,6.3,2200,M,2,0.8,5,12.5,Radial,Polar,,Through Hole,25,,,,,,,,,,,,,,,,,,,,0.26,20,120,415,138,,,20,85,1000,DC,,,,4.7,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH6R3ELL222MK25S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH6R3ELL222MK25S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH6R3ELL222MK25S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH100ELL102MK20S,In Production,,AVH,-40,85,10,1000,M,2,0.8,5,12.5,Radial,Polar,,Through Hole,20,,,,,,,,,,,,,,,,,,,,0.2,20,120,300,100,,,20,85,1000,DC,,,,4,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH100ELL102MK20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH100ELL102MK20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH100ELL102MK20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH160ELL102MK25S,In Production,,AVH,-40,85,16,1000,M,2,0.8,5,12.5,Radial,Polar,,Through Hole,25,,,,,,,,,,,,,,,,,,,,0.16,20,120,480,160,,,20,85,1000,DC,,,,4.7,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH160ELL102MK25S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH160ELL102MK25S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH160ELL102MK25S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH250ELL471MK20S,In Production,,AVH,-40,85,25,470,M,2,0.8,5,12.5,Radial,Polar,,Through Hole,20,,,,,,,,,,,,,,,,,,,,0.14,20,120,352,117,,,20,85,1000,DC,,,,4,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH250ELL471MK20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH250ELL471MK20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH250ELL471MK20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH350ELL471MK25S,In Production,,AVH,-40,85,35,470,M,2,0.8,5,12.5,Radial,Polar,,Through Hole,25,,,,,,,,,,,,,,,,,,,,0.12,20,120,493,164,,,20,85,1000,DC,,,,4.7,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH350ELL471MK25S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH350ELL471MK25S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH350ELL471MK25S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
