Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Lifetime @ Temp.,Operating Temperature,Polarization,Ratings,Applications,Ripple Current @ Low Frequency,Ripple Current @ High Frequency,Pin Size,Pin Qty,Lead Spacing,Size / Dimension,Height - Seated (Max),Surface Mount Land Size,Mounting Type,Package / Case
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/UCQ1C330MCL1GB.jpg,"493-17803-2-ND,493-17803-1-ND,493-17803-6-ND",UCQ1C330MCL1GB,Nichicon,Nichicon,CAP ALUM 33UF 20% 16V SMD,140,0.78,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,33 µF,±20%,16 V,-,1000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,40 mA @ 120 Hz,60 mA @ 10 kHz,0,2,-,"0.248"" Dia (6.30mm)","0.181"" (4.60mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,-,"493-17813-2-ND,493-17813-1-ND,493-17813-6-ND",UCQ1E470MCL1GS,Nichicon,Nichicon,CAP ALUM 47UF 20% 25V SMD,926,0.85,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,47 µF,±20%,25 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,100 mA @ 120 Hz,150 mA @ 10 kHz,0,2,-,"0.248"" Dia (6.30mm)","0.240"" (6.10mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4844/UCQ1A330MCL1GB.jpg,"493-17794-2-ND,493-17794-1-ND,493-17794-6-ND",UCQ1A330MCL1GB,Nichicon,Nichicon,CAP ALUM 33UF 20% 10V SMD,740,0.56,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,33 µF,±20%,10 V,-,1000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,30 mA @ 120 Hz,45 mA @ 10 kHz,0,2,-,"0.197"" Dia (5.00mm)","0.181"" (4.60mm)","0.209"" L x 0.209"" W (5.30mm x 5.30mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/UCQ1A470MCL1GB.jpg,"493-17795-2-ND,493-17795-1-ND,493-17795-6-ND",UCQ1A470MCL1GB,Nichicon,Nichicon,CAP ALUM 47UF 20% 10V SMD,"1,093",0.78,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,47 µF,±20%,10 V,-,1000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,40 mA @ 120 Hz,60 mA @ 10 kHz,0,2,-,"0.248"" Dia (6.30mm)","0.181"" (4.60mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,-,"493-17820-2-ND,493-17820-1-ND,493-17820-6-ND",UCQ1V220MCL1GB,Nichicon,Nichicon,CAP ALUM 22UF 20% 35V SMD,805,0.78,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,22 µF,±20%,35 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,40 mA @ 120 Hz,60 mA @ 10 kHz,0,2,-,"0.248"" Dia (6.30mm)","0.181"" (4.60mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,-,"493-17811-2-ND,493-17811-1-ND,493-17811-6-ND",UCQ1E220MCL1GB,Nichicon,Nichicon,CAP ALUM 22UF 20% 25V SMD,0,0.78,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,22 µF,±20%,25 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,40 mA @ 120 Hz,60 mA @ 10 kHz,0,2,-,"0.248"" Dia (6.30mm)","0.181"" (4.60mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,-,"493-17821-2-ND,493-17821-1-ND,493-17821-6-ND",UCQ1V330MCL1GS,Nichicon,Nichicon,CAP ALUM 33UF 20% 35V SMD,0,0.98,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,33 µF,±20%,35 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,100 mA @ 120 Hz,150 mA @ 10 kHz,0,2,-,"0.248"" Dia (6.30mm)","0.240"" (6.10mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,-,"493-17808-2-ND,493-17808-1-ND,493-17808-6-ND",UCQ1C471MCL1GS,Nichicon,Nichicon,CAP ALUM 470UF 20% 16V SMD,0,1.4,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,470 µF,±20%,16 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,400 mA @ 120 Hz,600 mA @ 10 kHz,0,2,-,"0.394"" Dia (10.00mm)","0.413"" (10.50mm)","0.406"" L x 0.406"" W (10.30mm x 10.30mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,-,"493-17800-2-ND,493-17800-1-ND,493-17800-6-ND",UCQ1A681MCL1GS,Nichicon,Nichicon,CAP ALUM 680UF 20% 10V SMD,0,1.47,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,680 µF,±20%,10 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,400 mA @ 120 Hz,600 mA @ 10 kHz,0,2,-,"0.394"" Dia (10.00mm)","0.413"" (10.50mm)","0.406"" L x 0.406"" W (10.30mm x 10.30mm)",Surface Mount,"Radial, Can - SMD"
https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf,-,"493-17824-2-ND,493-17824-1-ND,493-17824-6-ND",UCQ1V221MCL1GS,Nichicon,Nichicon,CAP ALUM 220UF 20% 35V SMD,0,1.63,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",UCQ,Active,220 µF,±20%,35 V,-,2000 Hrs @ 105°C,-55°C ~ 105°C,Polar,AEC-Q200,Audio,400 mA @ 120 Hz,600 mA @ 10 kHz,0,2,-,"0.394"" Dia (10.00mm)","0.413"" (10.50mm)","0.406"" L x 0.406"" W (10.30mm x 10.30mm)",Surface Mount,"Radial, Can - SMD"
