Part Number,Part Name,Part Label,Part ID,Symbol,Footprint,Manufacturer Part Description,Manufacturer Name,Manufacturer Part Number,Manufacturer Link,Series,Supplier Name,Supplier Part Number,Supplier Category,Supplier Sub-Category,Supplier Link,Datasheet Link,Photo Link,Value,Resistance,Capacitance,Inductance,Tolerance,Rated Voltage,Rated Current,Rated Power,Package,Status,Component Type
"CAPAE430W459HN","","","","cap","CAPAE430W459HN","CAP ALUM 10UF 16V 20.0% 55C105 RADIAL CAN SMD","Nichicon","UCQ1C100MCL1GB",,"UCQ",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5052/UCQ1C100MCL1GB.jpg",0.00001,,,,0.2,16,,,"RADIAL CAN SMD","Active","Capacitor"
"CAPAE530W459HN","","","","cap","CAPAE530W459HN","CAP ALUM 10UF 35V 20.0% 55C105 RADIAL CAN SMD","Nichicon","UCQ1V100MCL1GB",,"UCQ",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4841/UCQ1V100MCL1GB.jpg",0.00001,,,,0.2,35,,,"RADIAL CAN SMD","Active","Capacitor"
"CAPAE660W610HN","","","","cap","CAPAE660W610HN","CAP ALUM 100UF 10V 20.0% 55C105 RADIAL CAN SMD","Nichicon","UCQ1A101MCL1GS",,"UCQ",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/561/UUQ1E330MCL1GB.JPG",0.0001,,,,0.2,10,,,"RADIAL CAN SMD","Active","Capacitor"
"CAPAE660W800HN","","","","cap","CAPAE660W800HN","CAP ALUM 220UF 10V 20.0% 55C105 RADIAL CAN SMD","Nichicon","UCQ1A221MCL1GS",,"UCQ",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf","-",0.00022,,,,0.2,10,,,"RADIAL CAN SMD","Active","Capacitor"
"CAPAE830W1050HN","","","","cap","CAPAE830W1050HN","CAP ALUM 220UF 25V 20.0% 55C105 RADIAL CAN SMD","Nichicon","UCQ1E221MCL1GS",,"UCQ",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf","-",0.00022,,,,0.2,25,,,"RADIAL CAN SMD","Active","Capacitor"
"CAPAE1030W1050HN","","","","cap","CAPAE1030W1050HN","CAP ALUM 330UF 25V 20.0% 55C105 RADIAL CAN SMD","Nichicon","UCQ1E331MCL1GS",,"UCQ",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf","-",0.00033,,,,0.2,25,,,"RADIAL CAN SMD","Active","Capacitor"
"CAPAE660W459HN","","","","cap","CAPAE660W459HN","CAP ALUM 47UF 16V 20.0% 55C105 RADIAL CAN SMD","Nichicon","UCQ1C470MCL1GB",,"UCQ",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ucq.pdf","-",0.000047,,,,0.2,16,,,"RADIAL CAN SMD","Active","Capacitor"
