Part Number,Part Name,Part Label,Part ID,Symbol,Footprint,Manufacturer Part Description,Manufacturer Name,Manufacturer Part Number,Manufacturer Link,Series,Supplier Name,Supplier Part Number,Supplier Category,Supplier Sub-Category,Supplier Link,Datasheet Link,Photo Link,Value,Resistance,Capacitance,Inductance,Tolerance,Rated Voltage,Rated Current,Rated Power,Package,Status,Component Type
"CAPAETR2_0500P_1000X2200_PD060","","","","cap","CAPAETR2_0500P_1000X2200_PD060","CAP ALUM 100UF 100V 20.0% 40C85 RADIAL TH","Nichicon","UKW2A101MPD1TD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-22mm.jpg",0.0001,,,,0.2,100,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1000X1750_PD060","","","","cap","CAPAETR2_0500P_1000X1750_PD060","CAP ALUM 220UF 63V 20.0% 40C85 RADIAL TH","Nichicon","UKW1J221MPD1TD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-10mm.jpg",0.00022,,,,0.2,63,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1250X2000_PD060","","","","cap","CAPAETR2_0500P_1250X2000_PD060","CAP ALUM 2.2MF 16V 20.0% 40C85 RADIAL TH","Nichicon","UKW1C222MHD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-12.5mm.jpg",0.0022,,,,0.2,16,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1250X2700_PD060","","","","cap","CAPAETR2_0500P_1250X2700_PD060","CAP ALUM 2.2MF 25V 20.0% 40C85 RADIAL TH","Nichicon","UKW1E222MHD1TO",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-27mm.jpg",0.0022,,,,0.2,25,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1250X2200_PD060","","","","cap","CAPAETR2_0500P_1250X2200_PD060","CAP ALUM 470UF 50V 20.0% 40C85 RADIAL TH","Nichicon","UKW1H471MHD1TO",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-12.5mm.jpg",0.00047,,,,0.2,50,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0500P_1250X2500_PD060","","","","cap","CAPAETR2_0500P_1250X2500_PD060","CAP ALUM 1MF 50V 20.0% 40C85 RADIAL TH","Nichicon","UKW1H102MHD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-27mm.jpg",0.001,,,,0.2,50,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0750P_1600X2500_PD080","","","","cap","CAPAETR2_0750P_1600X2500_PD080","CAP ALUM 4.7MF 16V 20.0% 40C85 RADIAL TH","Nichicon","UKW1C472MHD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-16mm.jpg",0.0047,,,,0.2,16,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0750P_1600X3550_PD080","","","","cap","CAPAETR2_0750P_1600X3550_PD080","CAP ALUM 3.3MF 35V 20.0% 40C85 RADIAL TH","Nichicon","UKW1V332MHD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-35.5mm.jpg",0.0033,,,,0.2,35,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0750P_1600X2700_PD080","","","","cap","CAPAETR2_0750P_1600X2700_PD080","CAP ALUM 470UF 100V 20.0% 40C85 RADIAL TH","Nichicon","UKW2A471MHD1TN",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-16mm.jpg",0.00047,,,,0.2,100,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0750P_1600X3150_PD080","","","","cap","CAPAETR2_0750P_1600X3150_PD080","CAP ALUM 4.7MF 25V 20.0% 40C85 RADIAL TH","Nichicon","UKW1E472MHD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/UKW1E472MHD.jpg",0.0047,,,,0.2,25,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0750P_1800X3550_PD080","","","","cap","CAPAETR2_0750P_1800X3550_PD080","CAP ALUM 3.3MF 50V 20.0% 40C85 RADIAL TH","Nichicon","UKW1H332MHD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-18mm.jpg",0.0033,,,,0.2,50,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_0750P_1800X4000_PD080","","","","cap","CAPAETR2_0750P_1800X4000_PD080","CAP ALUM 1MF 100V 20.0% 40C85 RADIAL TH","Nichicon","UKW2A102MHD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-18mm.jpg",0.001,,,,0.2,100,,,"RADIAL TH","Not For New Designs","Capacitor"
"CAPAETR2_1000P_2000X4000_PD080","","","","cap","CAPAETR2_1000P_2000X4000_PD080","CAP ALUM 6.8MF 35V 20.0% 40C85 RADIAL TH","Nichicon","UKW1V682MRD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-20mm.jpg",0.0068,,,,0.2,35,,,"RADIAL TH","Obsolete","Capacitor"
"CAPAETR2_1000P_2200X5000_PD080","","","","cap","CAPAETR2_1000P_2200X5000_PD080","CAP ALUM 33MF 10V 20.0% 40C85 RADIAL TH","Nichicon","UKW1A333MRD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-50mm.jpg",0.033,,,,0.2,10,,,"RADIAL TH","Obsolete","Capacitor"
"CAPAETR2_1250P_2500X5000_PD080","","","","cap","CAPAETR2_1250P_2500X5000_PD080","CAP ALUM 22MF 25V 20.0% 40C85 RADIAL TH","Nichicon","UKW1E223MRD",,"UKW",,,,,,"https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-ukw.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/535/KW-SERIES-25mm.jpg",0.022,,,,0.2,25,,,"RADIAL TH","Obsolete","Capacitor"
